Cisco Product Name,Brief Description,Category,Part of Secure Networking GTM Strategy?,Cisco or Splunk Integration (Yes/No),Status/Notes,Former Names / Notes on Former Names,Official Cisco Product Page URL
Cisco Access Points (AP),Wireless access points,Networking,Yes,Yes,Supported by App for Cisco Network Data; legacy deprecated add-on exists,Cisco Access Points,https://www.cisco.com/c/en/us/products/wireless/access-points/index.html
Cisco Aggregation Services Routers (ASR),High-performance routers,Networking,No,Yes,Supported by App for Cisco Network Data; legacy deprecated add-on exists,Cisco Aggregation Services Routers,https://www.cisco.com/c/en/us/products/routers/asr-1000-series-aggregation-services-routers/index.html
Cisco AI Defense,AI-driven network threat detection and response,Security,Yes,Yes,"Live, included in Cisco Security Cloud App. Correct official name is ""Cisco AI Defense"" (not ""AI Network Defense"")",None,https://www.cisco.com/site/us/en/products/security/ai-defense/index.html
Cisco AppDynamics (AppD),Application performance monitoring,Observability,No,No,Developer Supported Add-ons exist,None,https://www.cisco.com/site/us/en/products/full-stack-observability/appdynamics/index.html
Cisco Application Centric Infrastructure (Cisco ACI),Software-defined networking for data centers,Networking,No,Yes,Deprecated apps exist; replacement Cisco DC Networking App (#7777) live,Cisco Application Centric Infrastructure (ACI),https://www.cisco.com/c/en/us/solutions/collateral/data-center-virtualization/application-centric-infrastructure/solution-overview-c22-741487.html
Cisco Bug Search Tool (BST),Tool for searching Cisco bug database,Tools,No,No,Developer Supported Add-ons exist,None,https://www.cisco.com/c/en/us/support/web/tools/bst/bsthelp/index.html
Cisco Carrier Routing System (CRS),Carrier-grade routers,Networking,No,Yes,Supported by App for Cisco Network Data; legacy deprecated add-on exists,Cisco Carrier Routing System,https://www.cisco.com/c/en/us/products/routers/carrier-routing-system/index.html
Cisco Catalyst Center,Network management and automation platform,Networking,Yes,Yes,"Live, supported by multiple TAs including Catalyst Add-on and DNA Center Add-on. DNA Center rebranded to Cisco Catalyst Center",Cisco Catalyst Center (formerly Cisco DNA Center),https://www.cisco.com/c/en/us/products/cloud-systems-management/dna-center/index.html
Cisco Catalyst SD-WAN,Software-defined WAN solution,Networking,Yes,Yes,"Live, supported by Catalyst Add-on and SD-WAN Add-ons. Viptela SD-WAN rebranded to Cisco Catalyst SD-WAN",Cisco Catalyst SD-WAN (formerly Viptela SD-WAN),https://www.cisco.com/c/en/us/solutions/collateral/enterprise-networks/sd-wan/nb-07-enterprise-grade-wp-cte-en.html
Cisco Catalyst Switches,Enterprise-class switching solutions,Networking,Yes,Yes,"Live, supported by Catalyst Add-on and Catalyst Center",Cisco Catalyst Switches,https://www.cisco.com/site/us/en/products/networking/switches/index.html
Cisco Cloud Web Security (CWS),End-of-Life product replaced by Cisco Umbrella and Secure Access (SSE/SASE),Security,Yes,Yes,CWS is End-of-Life; replaced by Cisco Umbrella and Secure Access (SSE/SASE),None,https://www.cisco.com/c/en/us/products/security/cloud-web-security/index.html
Cisco Cloudlock Cloud Access Security Broker (CASB),Cloud access security broker for SaaS applications,Security,No,Yes,Included in Cisco Secure Access App,None,https://www.cisco.com/c/en/us/products/security/cloudlock-cloud-access-security-broker/index.html
Cisco Connected Mobile Experiences (Cisco CMX),Location-based services and analytics,Networking,No,No,Archived add-ons exist,None,https://www.cisco.com/c/en/us/products/wireless/connected-mobile-experiences/index.html
Cisco Cyber Vision (CCV),Industrial network visibility and security,Security,Yes,Yes,"Live, supported by Catalyst Add-on",Cisco Cyber Vision,https://www.cisco.com/c/en/us/products/security/cyber-vision/index.html
Cisco Domain Protection,Domain protection service,Security,No,No,Archived add-ons exist. Recommended not to use Cisco Domain Protection (DMP),Cisco Domain Protection (DMP),https://www.cisco.com/c/en/us/products/security/domain-protection/index.html
Cisco Duo Security (Duo),Multi-factor authentication and zero trust security,Security,Yes,Yes,Included in Cisco Secure Access App,Cisco Duo Security,https://duo.com/?utm_source=cisco&utm_medium=referral
Cisco Email Threat Defense (ETD),Part of email security portfolio,Security,Yes,Yes,Part of Cisco Secure Email portfolio,None,https://www.cisco.com/site/us/en/products/security/secure-email/index.html
Cisco Encrypted Traffic Analytics (ETA),Proprietary telemetry for encrypted traffic analysis without decryption,Security,Yes,Validate,"Live, critical component for Security White Space",None,https://www.cisco.com/c/en/us/products/security/encrypted-traffic-analytics/index.html
Cisco Endpoint Security Analytics (CESA),Endpoint security analytics,Security,Validate,Validate,Validation needed,None,https://www.cisco.com/c/en/us/products/security/endpoint-security-analytics/index.html
Cisco Enhanced Event Visibility (EVE),Advanced visibility engine for high-fidelity telemetry,Security,Yes,Validate,Complements ETA; prioritized for Security Cloud integration,None,https://www.cisco.com/c/en/us/products/security/enhanced-event-visibility/index.html
Cisco Extended Detection and Response (XDR),Unified detection and response platform,Security,Yes,Yes,"Live, included in Cisco Secure Access App",Cisco Extended Detection and Response (XDR),https://www.cisco.com/c/en/us/products/security/xdr/index.html
Cisco Hypershield,Hybrid mesh firewall with eBPF-powered telemetry,Security,Yes,Validate,Critical gap; high-performance telemetry for Secure AI Factory,None,https://www.cisco.com/c/en/us/products/security/hypershield/index.html
